OrderID,CustomerID,OrderDate,ProductID,Quantity,Discount,PaymentMethod,Status,OrderYear,OrderMonth,OrderMonthName,ProductName,Category,UnitPrice,Sales,DiscountAmount,OrderValue,Age,City,SignupDate,CustomerSegment
500011,102192,2024-03-21,2004,3.0,0.3,Gateway,Completed,2024.0,3.0,March,Power Bank,Electronics,35.0,105.0,31.5,73.5,37.0,Tehran,2023-12-02,New
500012,102921,2024-07-25,2001,1.0,0.05,Wallet,Completed,2024.0,7.0,July,Wireless Mouse,Electronics,18.0,18.0,0.9,17.1,33.0,Tabriz,2024-01-19,VIP
500013,101803,2025-02-12,2005,3.0,0.1,CardToCard,Completed,2025.0,2.0,February,Laptop Stand,Accessories,28.0,84.0,8.4,75.6,39.0,Isfahan,2024-10-31,Regular
500014,108853,2026-01-01,2001,2.0,0.05,CardToCard,Completed,2026.0,1.0,January,Wireless Mouse,Electronics,18.0,36.0,1.8,34.2,44.0,Tehran,2025-08-14,New
500015,102106,2025-10-21,2017,1.0,0.0,Wallet,Completed,2025.0,10.0,October,HDMI Cable,Accessories,11.0,11.0,0.0,11.0,31.0,Tehran,2025-12-10,Regular
500016,104175,2024-05-18,2002,3.0,0.0,Gateway,Completed,2024.0,5.0,May,Mechanical Keyboard,Electronics,62.0,186.0,0.0,186.0,37.0,Rasht,2023-05-20,New
500017,101158,2024-03-02,2001,2.0,0.05,Gateway,Completed,2024.0,3.0,March,Wireless Mouse,Electronics,18.0,36.0,1.8,34.2,58.0,Tehran,2024-09-29,VIP
500018,109942,2024-07-13,2013,2.0,0.0,Gateway,Completed,2024.0,7.0,July,Notebook,Stationery,7.0,14.0,0.0,14.0,48.0,Rasht,2025-09-13,New
500019,104270,2026-01-06,2013,1.0,0.0,CardToCard,Completed,2026.0,1.0,January,Notebook,Stationery,7.0,7.0,0.0,7.0,42.0,Ahvaz,2023-10-20,Regular
500020,109355,2025-03-21,2017,2.0,0.2,Cash,Completed,2025.0,3.0,March,HDMI Cable,Accessories,11.0,22.0,4.4,17.6,37.0,Rasht,2024-05-03,New
500021,105138,2025-11-28,2017,2.0,0.0,Gateway,Completed,2025.0,11.0,November,HDMI Cable,Accessories,11.0,22.0,0.0,22.0,49.0,Karaj,2023-05-27,Regular
500022,105368,2024-11-15,2013,2.0,0.0,Gateway,Completed,2024.0,11.0,November,Notebook,Stationery,7.0,14.0,0.0,14.0,45.0,Isfahan,2025-09-04,Regular
500023,108138,2025-05-25,2006,1.0,0.2,Cash,Completed,2025.0,5.0,May,Webcam,Electronics,48.0,48.0,9.600000000000001,38.4,61.0,Tehran,2025-08-30,New
500024,107845,2025-05-28,2013,3.0,0.0,Gateway,Completed,2025.0,5.0,May,Notebook,Stationery,7.0,21.0,0.0,21.0,26.0,Tehran,2024-04-23,Regular
500025,109039,2025-06-25,2013,1.0,0.15,Gateway,Completed,2025.0,6.0,June,Notebook,Stationery,7.0,7.0,1.05,5.95,65.0,Ahvaz,2025-01-01,New
500026,107998,2025-02-10,2010,2.0,0.05,CardToCard,Completed,2025.0,2.0,February,Fitness Band,Wearables,55.0,110.0,5.5,104.5,34.0,Mashhad,2024-12-18,New
500027,108982,2024-07-25,2006,2.0,0.1,Cash,Completed,2024.0,7.0,July,Webcam,Electronics,48.0,96.0,9.600000000000001,86.4,43.0,Tehran,2024-05-08,Regular
500028,103563,2025-01-05,2002,1.0,0.0,Gateway,Completed,2025.0,1.0,January,Mechanical Keyboard,Electronics,62.0,62.0,0.0,62.0,38.0,Ahvaz,2023-04-11,Regular
500029,100210,2026-05-29,2002,1.0,0.1,Wallet,Completed,2026.0,5.0,May,Mechanical Keyboard,Electronics,62.0,62.0,6.2,55.8,55.0,tehran,2024-04-13,Regular
500030,104615,2024-08-23,2019,2.0,0.05,CardToCard,Completed,2024.0,8.0,August,Tablet,Electronics,260.0,520.0,26.0,494.0,44.0,Tehran,2024-04-06,VIP
500031,101683,2025-09-18,2011,2.0,0.0,Gateway,Completed,2025.0,9.0,September,Desk Lamp,Home Office,32.0,64.0,0.0,64.0,19.0,Shiraz,2025-04-27,Regular
500032,109032,2026-04-21,2008,2.0,0.0,Wallet,Completed,2026.0,4.0,April,Phone Case,Accessories,14.0,28.0,0.0,28.0,32.0,Karaj,2023-10-02,Regular
500033,107365,2025-05-04,2007,3.0,0.05,Gateway,Completed,2025.0,5.0,May,Headphones,Electronics,75.0,225.0,11.25,213.75,65.0,Kerman,2025-12-15,Regular
500034,105082,2025-02-26,2004,2.0,0.05,Gateway,Completed,2025.0,2.0,February,Power Bank,Electronics,35.0,70.0,3.5,66.5,42.0,Tehran,2025-11-02,New
500035,106013,2024-04-14,2008,5.0,0.1,Wallet,Completed,2024.0,4.0,April,Phone Case,Accessories,14.0,70.0,7.0,63.0,49.0,Tabriz,2024-07-05,Regular
500036,103010,2025-10-12,2017,2.0,0.2,Wallet,Completed,2025.0,10.0,October,HDMI Cable,Accessories,11.0,22.0,4.4,17.6,56.0,,2024-05-03,VIP
500037,107822,2026-03-10,2013,1.0,0.0,Gateway,Completed,2026.0,3.0,March,Notebook,Stationery,7.0,7.0,0.0,7.0,42.0,Tehran,2023-03-30,VIP
500038,101279,2026-06-06,2001,4.0,0.15,Gateway,Completed,2026.0,6.0,June,Wireless Mouse,Electronics,18.0,72.0,10.799999999999999,61.2,18.0,Karaj,2023-06-04,Regular
500039,107601,2024-06-23,2013,5.0,0.05,Gateway,Returned,2024.0,6.0,June,Notebook,Stationery,7.0,35.0,1.75,33.25,24.0,Karaj,2023-01-29,New
500040,104265,2026-03-21,2011,4.0,0.1,Gateway,Cancelled,2026.0,3.0,March,Desk Lamp,Home Office,32.0,128.0,12.8,115.2,46.0,Tehran,2025-07-30,VIP
500041,104458,2024-11-16,2010,2.0,0.3,Gateway,Completed,2024.0,11.0,November,Fitness Band,Wearables,55.0,110.0,33.0,77.0,19.0,Tehran,2025-10-27,Regular
500042,104499,2025-06-19,2006,1.0,0.1,Gateway,Completed,2025.0,6.0,June,Webcam,Electronics,48.0,48.0,4.800000000000001,43.2,29.0,Kerman,2023-02-17,Regular
500043,109584,2024-07-12,2020,1.0,0.0,Gateway,Completed,2024.0,7.0,July,Gaming Controller,Gaming,68.0,68.0,0.0,68.0,18.0,Tabriz,2024-12-19,Regular
500044,104936,2024-08-02,2005,1.0,0.0,CardToCard,Completed,2024.0,8.0,August,Laptop Stand,Accessories,28.0,28.0,0.0,28.0,46.0,Mashhad,2024-02-02,Regular
500045,100241,2025-06-18,2017,2.0,0.05,,Completed,2025.0,6.0,June,HDMI Cable,Accessories,11.0,22.0,1.1,20.9,24.0,Tehran,2023-12-20,Regular
500046,107541,2025-02-22,2002,1.0,0.05,CardToCard,Completed,2025.0,2.0,February,Mechanical Keyboard,Electronics,62.0,62.0,3.1,58.9,49.0,Mashhad,2024-06-02,Regular
500047,109317,2026-05-16,2003,3.0,0.0,CardToCard,Completed,2026.0,5.0,May,USB-C Cable,Accessories,9.0,27.0,0.0,27.0,65.0,Tabriz,2023-12-02,Regular
500048,109778,2024-08-16,2010,2.0,0.0,Cash,Completed,2024.0,8.0,August,Fitness Band,Wearables,55.0,110.0,0.0,110.0,36.0,Tehran,2023-11-13,New
500049,102735,2026-01-28,2003,2.0,0.0,CardToCard,Completed,2026.0,1.0,January,USB-C Cable,Accessories,9.0,18.0,0.0,18.0,39.0,Qom,2025-01-03,VIP
500050,103894,2025-02-01,2017,1.0,0.05,Gateway,Completed,2025.0,2.0,February,HDMI Cable,Accessories,11.0,11.0,0.55,10.45,27.0,Tehran,2025-09-25,Regular
500051,102673,2024-04-26,2011,1.0,0.0,Gateway,Completed,2024.0,4.0,April,Desk Lamp,Home Office,32.0,32.0,0.0,32.0,58.0,Rasht,2025-07-26,New
500052,108100,2024-07-25,2013,3.0,0.1,Wallet,Completed,2024.0,7.0,July,Notebook,Stationery,7.0,21.0,2.1,18.9,52.0,Mashhad,2024-09-17,VIP
500053,106454,2025-10-14,2013,1.0,0.0,Wallet,Completed,2025.0,10.0,October,Notebook,Stationery,7.0,7.0,0.0,7.0,50.0,Tehran,2023-02-26,New
500054,106300,2025-12-15,2011,1.0,0.2,Wallet,Returned,2025.0,12.0,December,Desk Lamp,Home Office,32.0,32.0,6.4,25.6,26.0,Tabriz,2025-08-07,New
500055,109861,2024-02-04,2011,2.0,0.15,Cash,Completed,2024.0,2.0,February,Desk Lamp,Home Office,32.0,64.0,9.6,54.4,43.0,Tehran,2024-11-07,New
500056,108499,2024-12-20,2018,2.0,0.0,Wallet,Completed,2024.0,12.0,December,Microphone,Electronics,85.0,170.0,0.0,170.0,46.0,Tehran,2023-01-17,New
500057,101360,2025-03-02,2011,1.0,0.0,Gateway,Completed,2025.0,3.0,March,Desk Lamp,Home Office,32.0,32.0,0.0,32.0,35.0,Isfahan,2025-03-13,New
500058,104257,2025-06-15,2010,2.0,0.0,Gateway,Completed,2025.0,6.0,June,Fitness Band,Wearables,55.0,110.0,0.0,110.0,33.0,tehran,2024-06-05,New
500059,109227,2025-07-16,2003,1.0,0.0,Wallet,Completed,2025.0,7.0,July,USB-C Cable,Accessories,9.0,9.0,0.0,9.0,52.0,Tehran,2024-07-08,New
500060,104648,2025-12-18,2009,2.0,0.15,Wallet,Completed,2025.0,12.0,December,Smart Watch,Wearables,120.0,240.0,36.0,204.0,21.0,Isfahan,2023-04-25,Regular
500061,103566,2024-08-24,2011,2.0,0.0,Cash,Completed,2024.0,8.0,August,Desk Lamp,Home Office,32.0,64.0,0.0,64.0,30.0,Mashhad,2023-01-04,New
500062,103020,2024-04-06,2007,3.0,0.05,Gateway,Completed,2024.0,4.0,April,Headphones,Electronics,75.0,225.0,11.25,213.75,53.0,Tabriz,2023-05-07,New
500063,106946,2024-06-10,2011,1.0,0.0,Gateway,Completed,2024.0,6.0,June,Desk Lamp,Home Office,32.0,32.0,0.0,32.0,44.0,Tabriz,2025-07-19,Regular
500064,107003,2026-04-11,2015,2.0,0.1,CardToCard,Completed,2026.0,4.0,April,Bluetooth Speaker,Electronics,58.0,116.0,11.600000000000001,104.4,64.0,Tehran,2023-06-14,Regular
500065,104518,2025-04-17,2014,1.0,0.0,CardToCard,Completed,2025.0,4.0,April,Backpack,Accessories,42.0,42.0,0.0,42.0,20.0,Mashhad,2024-01-11,Regular
500066,102799,2024-07-08,2017,1.0,0.05,Gateway,Completed,2024.0,7.0,July,HDMI Cable,Accessories,11.0,11.0,0.55,10.45,51.0,Mashhad,2023-12-30,New
500067,100378,2025-11-09,2013,1.0,0.05,Gateway,Completed,2025.0,11.0,November,Notebook,Stationery,7.0,7.0,0.35000000000000003,6.65,53.0,Karaj,2023-08-31,Regular
500068,104093,2025-05-22,2002,1.0,0.05,Wallet,Cancelled,2025.0,5.0,May,Mechanical Keyboard,Electronics,62.0,62.0,3.1,58.9,35.0,Tehran,2025-10-25,Regular
500069,103550,2024-11-13,2011,4.0,0.1,Gateway,Returned,2024.0,11.0,November,Desk Lamp,Home Office,32.0,128.0,12.8,115.2,48.0,Tabriz,2024-06-22,New
500070,105158,2024-01-16,2003,3.0,0.0,Gateway,Completed,2024.0,1.0,January,USB-C Cable,Accessories,9.0,27.0,0.0,27.0,23.0,Qom,2024-11-06,New
500071,100053,2025-11-07,2008,1.0,0.1,Wallet,Completed,2025.0,11.0,November,Phone Case,Accessories,14.0,14.0,1.4000000000000001,12.6,35.0,Shiraz,2024-02-27,Regular
500072,108212,2025-09-12,2017,1.0,0.2,CardToCard,Completed,2025.0,9.0,September,HDMI Cable,Accessories,11.0,11.0,2.2,8.8,22.0,Mashhad,2023-05-11,New
500073,102545,2024-08-14,2002,2.0,0.05,Gateway,Completed,2024.0,8.0,August,Mechanical Keyboard,Electronics,62.0,124.0,6.2,117.8,56.0,Shiraz,2023-02-22,New
500074,106487,2024-08-17,2014,5.0,0.1,Gateway,Completed,2024.0,8.0,August,Backpack,Accessories,42.0,210.0,21.0,189.0,55.0,Kerman,2025-06-11,Regular
500075,104951,2024-08-22,2007,1.0,0.05,Wallet,Completed,2024.0,8.0,August,Headphones,Electronics,75.0,75.0,3.75,71.25,33.0,Tehran,2025-01-18,New
500076,105369,2025-08-02,2014,3.0,0.05,Gateway,Completed,2025.0,8.0,August,Backpack,Accessories,42.0,126.0,6.300000000000001,119.7,49.0,Isfahan,2024-12-10,Regular
500077,108987,2024-09-11,2003,2.0,0.3,Gateway,Completed,2024.0,9.0,September,USB-C Cable,Accessories,9.0,18.0,5.3999999999999995,12.600000000000001,53.0,Tehran,2025-06-06,Regular
500078,100771,2024-09-25,2002,2.0,0.3,CardToCard,Completed,2024.0,9.0,September,Mechanical Keyboard,Electronics,62.0,124.0,37.199999999999996,86.80000000000001,49.0,Qom,2025-01-20,New
500079,103388,2024-11-21,2015,2.0,0.2,Wallet,Completed,2024.0,11.0,November,Bluetooth Speaker,Electronics,58.0,116.0,23.200000000000003,92.8,53.0,Shiraz,2023-06-13,New
500080,100685,2026-06-05,2013,1.0,0.0,Gateway,Cancelled,2026.0,6.0,June,Notebook,Stationery,7.0,7.0,0.0,7.0,26.0,Isfahan,2025-04-22,New
500081,107845,2025-02-01,2018,2.0,0.0,Gateway,Completed,2025.0,2.0,February,Microphone,Electronics,85.0,170.0,0.0,170.0,26.0,Tehran,2024-04-23,Regular
500082,103580,2024-11-22,2007,3.0,0.05,CardToCard,Completed,2024.0,11.0,November,Headphones,Electronics,75.0,225.0,11.25,213.75,21.0,Tehran,2023-09-24,Regular
500083,104496,2025-02-10,2008,1.0,0.0,Wallet,Completed,2025.0,2.0,February,Phone Case,Accessories,14.0,14.0,0.0,14.0,48.0,Tehran,2023-06-02,Regular
500084,100243,2025-09-13,2013,3.0,0.05,CardToCard,Completed,2025.0,9.0,September,Notebook,Stationery,7.0,21.0,1.05,19.95,22.0,Mashhad,2023-05-21,New
500085,106025,2026-02-03,2003,1.0,0.0,Gateway,Completed,2026.0,2.0,February,USB-C Cable,Accessories,9.0,9.0,0.0,9.0,41.0,Tehran,2023-02-23,New
500086,102251,2026-06-19,2001,1.0,0.0,Gateway,Completed,2026.0,6.0,June,Wireless Mouse,Electronics,18.0,18.0,0.0,18.0,42.0,Shiraz,2025-05-24,Regular
500087,100613,2025-02-23,2015,2.0,0.0,Gateway,Completed,2025.0,2.0,February,Bluetooth Speaker,Electronics,58.0,116.0,0.0,116.0,55.0,Mashhad,2024-07-24,New
500088,109509,2025-02-01,2008,3.0,0.05,CardToCard,Completed,2025.0,2.0,February,Phone Case,Accessories,14.0,42.0,2.1,39.9,57.0,Tabriz,2025-11-11,Regular
500089,105172,2024-10-12,2019,2.0,0.05,Gateway,Completed,2024.0,10.0,October,Tablet,Electronics,260.0,520.0,26.0,494.0,39.0,Mashhad,2025-12-28,Regular
500090,102165,2025-11-04,2003,4.0,0.1,Wallet,Completed,2025.0,11.0,November,USB-C Cable,Accessories,9.0,36.0,3.6,32.4,63.0,Rasht,2024-01-23,New
500091,103486,2025-07-20,2003,1.0,0.1,Cash,Cancelled,2025.0,7.0,July,USB-C Cable,Accessories,9.0,9.0,0.9,8.1,19.0,Ahvaz,2025-08-29,Regular
500092,107995,2024-11-09,2001,5.0,0.05,CardToCard,Completed,2024.0,11.0,November,Wireless Mouse,Electronics,18.0,90.0,4.5,85.5,58.0,Qom,2025-02-06,Regular
500093,104739,2025-03-23,2018,2.0,0.1,Gateway,Completed,2025.0,3.0,March,Microphone,Electronics,85.0,170.0,17.0,153.0,34.0,,2025-02-07,Regular
500094,106590,2024-06-26,2015,2.0,0.3,Gateway,Completed,2024.0,6.0,June,Bluetooth Speaker,Electronics,58.0,116.0,34.8,81.2,41.0,Tehran,2025-12-06,Regular
500095,102948,2025-08-22,2020,1.0,0.15,Gateway,Completed,2025.0,8.0,August,Gaming Controller,Gaming,68.0,68.0,10.2,57.8,41.0,Isfahan,2025-11-03,Regular
500096,101255,2024-08-05,2018,1.0,0.0,CardToCard,Completed,2024.0,8.0,August,Microphone,Electronics,85.0,85.0,0.0,85.0,49.0,Rasht,2025-04-30,Regular
500097,100083,2024-10-29,2004,1.0,0.3,Gateway,Completed,2024.0,10.0,October,Power Bank,Electronics,35.0,35.0,10.5,24.5,25.0,Isfahan,2023-12-19,Regular
500098,102041,2024-02-29,2017,3.0,0.0,Gateway,Cancelled,2024.0,2.0,February,HDMI Cable,Accessories,11.0,33.0,0.0,33.0,31.0,Tabriz,2025-03-28,Regular
500099,109236,2024-07-09,2014,4.0,0.1,CardToCard,Completed,2024.0,7.0,July,Backpack,Accessories,42.0,168.0,16.8,151.2,44.0,Isfahan,2024-03-24,New
500100,100300,2024-06-17,2005,3.0,0.0,CardToCard,Completed,2024.0,6.0,June,Laptop Stand,Accessories,28.0,84.0,0.0,84.0,19.0,Tehran,2025-11-02,New
500101,100163,2025-09-27,2008,2.0,0.15,Gateway,Completed,2025.0,9.0,September,Phone Case,Accessories,14.0,28.0,4.2,23.8,37.0,Tehran,2024-08-22,Regular
500102,100303,2025-08-23,2010,1.0,0.0,Gateway,Completed,2025.0,8.0,August,Fitness Band,Wearables,55.0,55.0,0.0,55.0,18.0,Karaj,2023-10-25,Regular
500103,107340,2025-04-10,2005,1.0,0.05,Gateway,Completed,2025.0,4.0,April,Laptop Stand,Accessories,28.0,28.0,1.4000000000000001,26.6,45.0,Tabriz,2024-08-26,New
500104,108874,2024-11-30,2005,1.0,0.1,CardToCard,Completed,2024.0,11.0,November,Laptop Stand,Accessories,28.0,28.0,2.8000000000000003,25.2,57.0,Rasht,2024-12-04,Regular
500105,104487,2026-02-10,2015,1.0,0.15,Gateway,Completed,2026.0,2.0,February,Bluetooth Speaker,Electronics,58.0,58.0,8.7,49.3,44.0,Tabriz,2023-04-02,Regular
500106,109797,2026-02-03,2007,3.0,0.0,Gateway,Completed,2026.0,2.0,February,Headphones,Electronics,75.0,225.0,0.0,225.0,47.0,Isfahan,2024-11-02,Regular
500107,103568,2025-06-04,2007,3.0,0.1,Wallet,Completed,2025.0,6.0,June,Headphones,Electronics,75.0,225.0,22.5,202.5,25.0,Isfahan,2023-06-25,Regular
500108,109290,2025-07-22,2018,4.0,0.0,Wallet,Completed,2025.0,7.0,July,Microphone,Electronics,85.0,340.0,0.0,340.0,31.0,Mashhad,2023-02-09,Regular
500109,104967,2025-11-19,2017,2.0,0.05,Gateway,Completed,2025.0,11.0,November,HDMI Cable,Accessories,11.0,22.0,1.1,20.9,28.0,Mashhad,2023-08-15,New
500110,103549,2025-09-16,2003,1.0,0.15,Gateway,Cancelled,2025.0,9.0,September,USB-C Cable,Accessories,9.0,9.0,1.3499999999999999,7.65,,Karaj,2024-02-02,Regular
500111,108820,2024-07-13,2003,3.0,0.0,Gateway,Completed,2024.0,7.0,July,USB-C Cable,Accessories,9.0,27.0,0.0,27.0,25.0,Qom,2025-08-05,VIP
500112,100737,2025-03-10,2005,2.0,0.1,Gateway,Completed,2025.0,3.0,March,Laptop Stand,Accessories,28.0,56.0,5.6000000000000005,50.4,53.0,Tabriz,2025-08-03,Regular
500113,101140,2024-05-11,2013,1.0,0.15,Gateway,Cancelled,2024.0,5.0,May,Notebook,Stationery,7.0,7.0,1.05,5.95,43.0,Isfahan,2023-01-04,VIP
500114,107642,2025-11-30,2007,3.0,0.0,,Completed,2025.0,11.0,November,Headphones,Electronics,75.0,225.0,0.0,225.0,54.0,Shiraz,2023-10-28,Regular
500115,109188,2025-07-18,2008,2.0,0.0,Gateway,Completed,2025.0,7.0,July,Phone Case,Accessories,14.0,28.0,0.0,28.0,27.0,Isfahan,2023-11-11,New
500116,102851,2026-06-04,2001,1.0,0.05,,Completed,2026.0,6.0,June,Wireless Mouse,Electronics,18.0,18.0,0.9,17.1,27.0,Shiraz,2024-07-27,Regular
500117,106117,2024-04-28,2008,2.0,0.15,Wallet,Returned,2024.0,4.0,April,Phone Case,Accessories,14.0,28.0,4.2,23.8,58.0,Tehran,2024-08-27,Regular
500118,101946,2025-03-16,2005,1.0,0.05,Gateway,Completed,2025.0,3.0,March,Laptop Stand,Accessories,28.0,28.0,1.4000000000000001,26.6,,Karaj,2025-02-06,Regular
500119,101651,2025-09-17,2007,3.0,0.0,Gateway,Completed,2025.0,9.0,September,Headphones,Electronics,75.0,225.0,0.0,225.0,,Tabriz,2024-05-19,Regular
500120,104593,2026-01-19,2001,5.0,0.0,,Completed,2026.0,1.0,January,Wireless Mouse,Electronics,18.0,90.0,0.0,90.0,21.0,Rasht,2023-01-21,Regular
500121,109488,2026-01-07,2008,3.0,0.0,CardToCard,Completed,2026.0,1.0,January,Phone Case,Accessories,14.0,42.0,0.0,42.0,31.0,Qom,2023-08-15,VIP
500122,100808,2024-06-23,2012,2.0,0.15,Gateway,Completed,2024.0,6.0,June,Office Chair,Home Office,180.0,360.0,54.0,306.0,23.0,Ahvaz,2025-01-22,VIP
500123,108989,2026-06-08,2008,1.0,0.15,Gateway,Completed,2026.0,6.0,June,Phone Case,Accessories,14.0,14.0,2.1,11.9,18.0,Ahvaz,2025-06-24,New
500124,100247,2026-06-07,2002,1.0,0.3,CardToCard,Completed,2026.0,6.0,June,Mechanical Keyboard,Electronics,62.0,62.0,18.599999999999998,43.400000000000006,54.0,Isfahan,2023-10-30,New
500125,109971,2026-05-22,2007,4.0,0.3,Gateway,Completed,2026.0,5.0,May,Headphones,Electronics,75.0,300.0,90.0,210.0,27.0,Karaj,2025-03-18,Regular
500126,105041,2025-06-14,2005,4.0,0.05,Cash,Completed,2025.0,6.0,June,Laptop Stand,Accessories,28.0,112.0,5.6000000000000005,106.4,34.0,Tehran,2025-08-14,New
500127,108080,2025-12-19,2007,2.0,0.0,CardToCard,Completed,2025.0,12.0,December,Headphones,Electronics,75.0,150.0,0.0,150.0,57.0,Kerman,2025-04-23,VIP
500128,106290,2024-03-06,2014,1.0,0.05,CardToCard,Completed,2024.0,3.0,March,Backpack,Accessories,42.0,42.0,2.1,39.9,57.0,Tehran,2025-05-15,New
500129,108436,2024-08-08,2019,1.0,0.0,Gateway,Completed,2024.0,8.0,August,Tablet,Electronics,260.0,260.0,0.0,260.0,21.0,Isfahan,2025-02-02,Regular
500130,106102,2024-03-20,2012,1.0,0.3,Gateway,Completed,2024.0,3.0,March,Office Chair,Home Office,180.0,180.0,54.0,126.0,60.0,Tehran,2025-10-14,Regular
500131,101553,2025-03-12,2007,1.0,0.05,Wallet,Completed,2025.0,3.0,March,Headphones,Electronics,75.0,75.0,3.75,71.25,43.0,Ahvaz,2023-07-25,VIP
500132,100253,2026-05-17,2008,1.0,0.05,Gateway,Completed,2026.0,5.0,May,Phone Case,Accessories,14.0,14.0,0.7000000000000001,13.3,27.0,Tehran,2024-06-28,New
500133,108318,2025-07-14,2017,2.0,0.1,Gateway,Completed,2025.0,7.0,July,HDMI Cable,Accessories,11.0,22.0,2.2,19.8,39.0,Mashhad,2023-05-08,Regular
500134,100871,2025-02-02,2017,1.0,,CardToCard,Completed,2025.0,2.0,February,HDMI Cable,Accessories,11.0,11.0,,,39.0,Tabriz,2023-04-23,New
500135,107244,2025-11-16,2017,2.0,0.3,CardToCard,Completed,2025.0,11.0,November,HDMI Cable,Accessories,11.0,22.0,6.6,15.4,31.0,Qom,2025-06-11,New
500136,101858,2025-04-20,2018,2.0,0.0,Gateway,Completed,2025.0,4.0,April,Microphone,Electronics,85.0,170.0,0.0,170.0,,Mashhad,2024-02-21,New
500137,106607,2025-01-30,2017,3.0,0.05,CardToCard,Completed,2025.0,1.0,January,HDMI Cable,Accessories,11.0,33.0,1.6500000000000001,31.35,59.0,Tabriz,2024-12-03,New
500138,103340,2025-06-27,2007,1.0,0.0,Gateway,Completed,2025.0,6.0,June,Headphones,Electronics,75.0,75.0,0.0,75.0,59.0,Karaj,2024-08-01,Regular
500139,108835,2025-03-18,2011,4.0,0.05,CardToCard,Completed,2025.0,3.0,March,Desk Lamp,Home Office,32.0,128.0,6.4,121.6,63.0,Karaj,2025-10-25,Regular
500140,107286,2025-07-08,2008,1.0,0.2,Wallet,Completed,2025.0,7.0,July,Phone Case,Accessories,14.0,14.0,2.8000000000000003,11.2,,Tehran,2025-02-10,Regular
500141,104773,2025-11-24,2010,2.0,0.05,Gateway,Completed,2025.0,11.0,November,Fitness Band,Wearables,55.0,110.0,5.5,104.5,26.0,Karaj,2023-06-09,New
500142,100252,2025-02-03,2010,1.0,0.1,CardToCard,Completed,2025.0,2.0,February,Fitness Band,Wearables,55.0,55.0,5.5,49.5,41.0,Tehran,2024-09-12,VIP
500143,103103,2024-12-24,2016,2.0,0.1,Gateway,Completed,2024.0,12.0,December,Monitor,Electronics,21.0,42.0,4.2,37.8,18.0,Karaj,2023-12-09,Regular
500144,101874,2025-04-27,2016,1.0,0.0,CardToCard,Completed,2025.0,4.0,April,Monitor,Electronics,21.0,21.0,0.0,21.0,63.0,,2025-09-14,Regular
500145,107442,2026-03-01,2008,2.0,0.15,CardToCard,Completed,2026.0,3.0,March,Phone Case,Accessories,14.0,28.0,4.2,23.8,48.0,Tabriz,2025-10-24,Regular
500146,107442,2024-12-31,2009,4.0,0.0,Cash,Completed,2024.0,12.0,December,Smart Watch,Wearables,120.0,480.0,0.0,480.0,48.0,Tabriz,2025-10-24,Regular
500147,104242,2026-01-02,2010,4.0,0.0,Wallet,Completed,2026.0,1.0,January,Fitness Band,Wearables,55.0,220.0,0.0,220.0,31.0,Isfahan,2024-01-16,New
500148,103890,2025-06-17,2013,3.0,0.1,Wallet,Completed,2025.0,6.0,June,Notebook,Stationery,7.0,21.0,2.1,18.9,57.0,Tehran,2025-10-26,New
500149,105747,2024-01-11,2009,2.0,0.3,CardToCard,Completed,2024.0,1.0,January,Smart Watch,Wearables,120.0,240.0,72.0,168.0,38.0,Isfahan,2024-11-16,Regular
